algorithm_name,env_n,scenario,states_n,actions_count,actions_cost,time,solution_found
Random,1,1,2,2,2,0.0003688335418701172,False
Random,1,2,10,10,73,0.0001342296600341797,False
BFS,1,1,9996,198,198,0.03145170211791992,True
BFS,1,2,9996,198,1089,0.0326230525970459,True
DFS,1,1,551,504,504,0.002966165542602539,True
DFS,1,2,551,504,3555,0.003060579299926758,True
DLS-300,1,1,7857,0,0,0.02895641326904297,False
DLS-300,1,2,7857,0,0,0.02848982810974121,False
DLS-400,1,1,1204,396,396,0.004613161087036133,True
DLS-400,1,2,1204,396,2529,0.004256010055541992,True
DLS-500,1,1,4436,486,486,0.01860785484313965,True
DLS-500,1,2,4436,486,3087,0.019234895706176758,True
UCS,1,1,9996,198,198,0.044542789459228516,True
UCS,1,2,9987,198,1089,0.044394493103027344,True
A*,1,1,8877,198,198,0.1134028434753418,True
A*,1,2,9882,198,1089,0.08567333221435547,True
Random,2,1,10,10,10,0.00043487548828125,False
Random,2,2,13,13,85,0.000164031982421875,False
BFS,2,1,9998,198,198,0.03332328796386719,True
BFS,2,2,9998,198,1089,0.033529043197631836,True
DFS,2,1,962,852,852,0.005226850509643555,True
DFS,2,2,962,852,6423,0.00523686408996582,True
DLS-300,2,1,7319,0,0,0.026088714599609375,False
DLS-300,2,2,7319,0,0,0.0270693302154541,False
DLS-400,2,1,1154,342,342,0.004523277282714844,True
DLS-400,2,2,1154,342,2223,0.004483699798583984,True
DLS-500,2,1,1141,362,362,0.0052912235260009766,True
DLS-500,2,2,1141,362,2387,0.005795478820800781,True
UCS,2,1,9998,198,198,0.044899940490722656,True
UCS,2,2,9989,198,1089,0.04768562316894531,True
A*,2,1,8955,198,198,0.07357311248779297,True
A*,2,2,9888,198,1089,0.06078934669494629,True
Random,3,1,38,38,38,0.0006544589996337891,False
Random,3,2,7,7,43,9.608268737792969e-05,False
BFS,3,1,9997,198,198,0.03297901153564453,True
BFS,3,2,9997,198,1089,0.033591270446777344,True
DFS,3,1,2000,1724,1724,0.024095535278320312,True
DFS,3,2,2000,1724,13019,0.029694080352783203,True
DLS-300,3,1,8188,0,0,0.030504703521728516,False
DLS-300,3,2,8188,0,0,0.03137922286987305,False
DLS-400,3,1,6647,0,0,0.029222488403320312,False
DLS-400,3,2,6647,0,0,0.031228303909301758,False
DLS-500,3,1,3694,484,484,0.019726037979125977,True
DLS-500,3,2,3694,484,2941,0.01902008056640625,True
UCS,3,1,9996,198,198,0.04674816131591797,True
UCS,3,2,9989,198,1089,0.04652237892150879,True
A*,3,1,9206,198,198,0.12070298194885254,True
A*,3,2,9890,198,1089,0.06504011154174805,True
Random,4,1,61,61,61,0.0008666515350341797,False
Random,4,2,38,38,191,0.00033092498779296875,False
BFS,4,1,9998,198,198,0.03540468215942383,True
BFS,4,2,9998,198,1089,0.036688804626464844,True
DFS,4,1,522,478,478,0.002798318862915039,True
DFS,4,2,522,478,3331,0.0028727054595947266,True
DLS-300,4,1,6065,0,0,0.022138595581054688,False
DLS-300,4,2,6065,0,0,0.022237777709960938,False
DLS-400,4,1,707,398,398,0.002655029296875,True
DLS-400,4,2,707,398,2693,0.0025162696838378906,True
DLS-500,4,1,522,478,478,0.0022072792053222656,True
DLS-500,4,2,522,478,3331,0.0022661685943603516,True
UCS,4,1,9998,198,198,0.0452880859375,True
UCS,4,2,9989,198,1089,0.04501819610595703,True
A*,4,1,9373,198,198,0.07592368125915527,True
A*,4,2,9890,198,1089,0.06199526786804199,True
Random,5,1,96,96,96,0.0010857582092285156,False
Random,5,2,19,19,136,0.00018286705017089844,False
BFS,5,1,9998,198,198,0.03560495376586914,True
BFS,5,2,9998,198,1089,0.03642868995666504,True
DFS,5,1,786,680,680,0.004436492919921875,True
DFS,5,2,786,680,5081,0.004160404205322266,True
DLS-300,5,1,8589,0,0,0.031314849853515625,False
DLS-300,5,2,8589,0,0,0.03160429000854492,False
DLS-400,5,1,7261,0,0,0.028234243392944336,False
DLS-400,5,2,7261,0,0,0.02979564666748047,False
DLS-500,5,1,1469,382,382,0.006842613220214844,True
DLS-500,5,2,1469,382,2335,0.0065882205963134766,True
UCS,5,1,9997,198,198,0.04744076728820801,True
UCS,5,2,9988,198,1089,0.0481564998626709,True
A*,5,1,9302,198,198,0.11670851707458496,True
A*,5,2,9895,198,1089,0.06080317497253418,True
Random,6,1,25,25,25,0.0005278587341308594,False
Random,6,2,46,46,316,0.0004107952117919922,False
BFS,6,1,9998,198,198,0.03336071968078613,True
BFS,6,2,9998,198,1089,0.0348362922668457,True
DFS,6,1,1567,1378,1378,0.018621444702148438,True
DFS,6,2,1567,1378,10693,0.017881393432617188,True
DLS-300,6,1,4701,0,0,0.01947641372680664,False
DLS-300,6,2,4701,0,0,0.018009424209594727,False
DLS-400,6,1,6671,0,0,0.026694059371948242,False
DLS-400,6,2,6671,0,0,0.02723383903503418,False
DLS-500,6,1,3763,472,472,0.017041683197021484,True
DLS-500,6,2,3763,472,2767,0.0171356201171875,True
UCS,6,1,9998,198,198,0.04749321937561035,True
UCS,6,2,9989,198,1089,0.05013322830200195,True
A*,6,1,8958,198,198,0.0738673210144043,True
A*,6,2,9886,198,1089,0.05985689163208008,True
Random,7,1,11,11,11,0.0004248619079589844,False
Random,7,2,18,18,99,0.0001800060272216797,False
BFS,7,1,9996,198,198,0.033547401428222656,True
BFS,7,2,9996,198,1089,0.03451943397521973,True
DFS,7,1,1374,1156,1156,0.01031804084777832,True
DFS,7,2,1374,1156,8833,0.010558366775512695,True
DLS-300,7,1,7338,0,0,0.03164339065551758,False
DLS-300,7,2,7338,0,0,0.026860713958740234,False
DLS-400,7,1,5635,380,380,0.02227950096130371,True
DLS-400,7,2,5635,380,2171,0.022548198699951172,True
DLS-500,7,1,3201,396,396,0.015407323837280273,True
DLS-500,7,2,3201,396,2313,0.01573777198791504,True
UCS,7,1,9996,198,198,0.04981827735900879,True
UCS,7,2,9987,198,1089,0.04921865463256836,True
A*,7,1,8964,198,198,0.1149747371673584,True
A*,7,2,9893,198,1089,0.06645035743713379,True
Random,8,1,3,3,3,0.0004875659942626953,False
Random,8,2,24,24,105,0.00024890899658203125,False
BFS,8,1,9995,198,198,0.03811287879943848,True
BFS,8,2,9995,198,1089,0.03842735290527344,True
DFS,8,1,1504,1250,1250,0.014744281768798828,True
DFS,8,2,1504,1250,9827,0.014715194702148438,True
DLS-300,8,1,7297,0,0,0.02784419059753418,False
