algorithm_name,env_n,size,best_solution,H,states,time
random,0,4,"[2, 0, 3, 1]",0,68,0.0004260540008544922
random,1,4,"[2, 0, 3, 1]",0,21,0.00011849403381347656
random,2,4,"[1, 3, 0, 2]",0,194,0.0010504722595214844
random,3,4,"[2, 0, 3, 1]",0,27,0.00014662742614746094
random,4,4,"[1, 3, 0, 2]",0,124,0.0007069110870361328
random,5,4,"[2, 0, 3, 1]",0,146,0.0008342266082763672
random,6,4,"[1, 3, 0, 2]",0,414,0.0022406578063964844
random,7,4,"[1, 3, 0, 2]",0,182,0.0009598731994628906
random,8,4,"[1, 3, 0, 2]",0,120,0.0006489753723144531
random,9,4,"[1, 3, 0, 2]",0,155,0.0008432865142822266
random,10,4,"[1, 3, 0, 2]",0,213,0.0011284351348876953
random,11,4,"[1, 3, 0, 2]",0,151,0.0009698867797851562
random,12,4,"[1, 3, 0, 2]",0,99,0.0005335807800292969
random,13,4,"[2, 0, 3, 1]",0,139,0.00074005126953125
random,14,4,"[1, 3, 0, 2]",0,63,0.00032210350036621094
random,15,4,"[2, 0, 3, 1]",0,178,0.0009260177612304688
random,16,4,"[1, 3, 0, 2]",0,91,0.0004563331604003906
random,17,4,"[1, 3, 0, 2]",0,159,0.0008389949798583984
random,18,4,"[1, 3, 0, 2]",0,607,0.0032415390014648438
random,19,4,"[1, 3, 0, 2]",0,61,0.0003230571746826172
random,20,4,"[1, 3, 0, 2]",0,133,0.0007054805755615234
random,21,4,"[1, 3, 0, 2]",0,29,0.00015354156494140625
random,22,4,"[1, 3, 0, 2]",0,9,5.078315734863281e-05
random,23,4,"[2, 0, 3, 1]",0,43,0.00022673606872558594
random,24,4,"[2, 0, 3, 1]",0,584,0.0030870437622070312
random,25,4,"[1, 3, 0, 2]",0,425,0.002311229705810547
random,26,4,"[1, 3, 0, 2]",0,47,0.00025177001953125
random,27,4,"[1, 3, 0, 2]",0,16,8.726119995117188e-05
random,28,4,"[1, 3, 0, 2]",0,43,0.00022912025451660156
random,29,4,"[2, 0, 3, 1]",0,11,6.127357482910156e-05
HC,0,4,"[1, 3, 0, 2]",0,13,6.318092346191406e-05
HC,1,4,"[1, 3, 2, 0]",1,25,9.512901306152344e-05
HC,2,4,"[1, 3, 0, 2]",0,25,7.319450378417969e-05
HC,3,4,"[1, 0, 2, 3]",2,25,7.367134094238281e-05
HC,4,4,"[1, 2, 0, 3]",1,13,4.887580871582031e-05
HC,5,4,"[1, 2, 0, 3]",1,25,9.846687316894531e-05
HC,6,4,"[1, 3, 2, 0]",1,25,0.00014066696166992188
HC,7,4,"[2, 1, 3, 0]",1,13,3.647804260253906e-05
HC,8,4,"[0, 2, 3, 1]",1,25,7.05718994140625e-05
HC,9,4,"[3, 0, 2, 1]",1,25,6.961822509765625e-05
HC,10,4,"[0, 3, 3, 0]",2,13,3.504753112792969e-05
HC,11,4,"[2, 0, 3, 1]",0,25,6.914138793945312e-05
HC,12,4,"[3, 0, 2, 1]",1,25,7.700920104980469e-05
HC,13,4,"[2, 0, 3, 1]",0,25,6.961822509765625e-05
HC,14,4,"[3, 1, 2, 2]",2,25,6.985664367675781e-05
HC,15,4,"[3, 0, 2, 1]",1,37,0.00010156631469726562
HC,16,4,"[2, 0, 3, 1]",0,37,0.000102996826171875
HC,17,4,"[3, 0, 2, 1]",1,37,0.00010061264038085938
HC,18,4,"[3, 1, 0, 2]",1,49,0.0001380443572998047
