algoritmo,N,semilla,tiempo,nodos,exito
backtracking_n_queens,4,0,3.409385681152344e-05,7,True
backtracking_n_queens,4,1,3.24249267578125e-05,45,True
backtracking_n_queens,4,2,1.3828277587890625e-05,7,True
backtracking_n_queens,4,3,2.9087066650390625e-05,45,True
backtracking_n_queens,4,4,1.2636184692382812e-05,8,True
backtracking_n_queens,4,5,2.0503997802734375e-05,23,True
backtracking_n_queens,4,6,2.09808349609375e-05,26,True
backtracking_n_queens,4,7,2.0742416381835938e-05,27,True
backtracking_n_queens,4,8,2.09808349609375e-05,28,True
backtracking_n_queens,4,9,2.09808349609375e-05,28,True
backtracking_n_queens,4,10,8.130073547363281e-05,26,True
backtracking_n_queens,4,11,2.193450927734375e-05,24,True
backtracking_n_queens,4,12,2.1219253540039062e-05,26,True
backtracking_n_queens,4,13,2.8848648071289062e-05,41,True
backtracking_n_queens,4,14,1.2636184692382812e-05,8,True
backtracking_n_queens,4,15,2.0503997802734375e-05,24,True
backtracking_n_queens,4,16,2.7418136596679688e-05,39,True
backtracking_n_queens,4,17,2.1219253540039062e-05,26,True
backtracking_n_queens,4,18,1.4781951904296875e-05,12,True
backtracking_n_queens,4,19,1.33514404296875e-05,10,True
backtracking_n_queens,4,20,1.2636184692382812e-05,5,True
backtracking_n_queens,4,21,2.002716064453125e-05,25,True
backtracking_n_queens,4,22,2.3126602172851562e-05,28,True
backtracking_n_queens,4,23,1.3589859008789062e-05,10,True
backtracking_n_queens,4,24,1.2636184692382812e-05,7,True
backtracking_n_queens,4,25,1.3589859008789062e-05,12,True
backtracking_n_queens,4,26,2.8133392333984375e-05,44,True
backtracking_n_queens,4,27,3.743171691894531e-05,25,True
backtracking_n_queens,4,28,1.2636184692382812e-05,5,True
backtracking_n_queens,4,29,2.0503997802734375e-05,26,True
forward_checking_n_queens,4,0,2.5033950805664062e-05,4,True
forward_checking_n_queens,4,1,2.5987625122070312e-05,12,True
forward_checking_n_queens,4,2,1.3589859008789062e-05,4,True
forward_checking_n_queens,4,3,2.3365020751953125e-05,12,True
forward_checking_n_queens,4,4,1.33514404296875e-05,4,True
forward_checking_n_queens,4,5,1.7642974853515625e-05,8,True
forward_checking_n_queens,4,6,1.7642974853515625e-05,8,True
forward_checking_n_queens,4,7,1.8358230590820312e-05,8,True
forward_checking_n_queens,4,8,1.6927719116210938e-05,8,True
forward_checking_n_queens,4,9,1.811981201171875e-05,8,True
forward_checking_n_queens,4,10,1.7404556274414062e-05,8,True
forward_checking_n_queens,4,11,1.6927719116210938e-05,8,True
forward_checking_n_queens,4,12,1.6689300537109375e-05,8,True
forward_checking_n_queens,4,13,2.1219253540039062e-05,12,True
forward_checking_n_queens,4,14,1.2874603271484375e-05,4,True
forward_checking_n_queens,4,15,1.8596649169921875e-05,8,True
forward_checking_n_queens,4,16,2.09808349609375e-05,12,True
forward_checking_n_queens,4,17,1.6927719116210938e-05,8,True
forward_checking_n_queens,4,18,1.2636184692382812e-05,4,True
forward_checking_n_queens,4,19,1.2874603271484375e-05,4,True
forward_checking_n_queens,4,20,1.33514404296875e-05,4,True
forward_checking_n_queens,4,21,1.71661376953125e-05,8,True
forward_checking_n_queens,4,22,1.8835067749023438e-05,8,True
forward_checking_n_queens,4,23,1.3113021850585938e-05,4,True
forward_checking_n_queens,4,24,1.239776611328125e-05,4,True
forward_checking_n_queens,4,25,1.2636184692382812e-05,4,True
forward_checking_n_queens,4,26,2.1219253540039062e-05,12,True
forward_checking_n_queens,4,27,1.8835067749023438e-05,8,True
forward_checking_n_queens,4,28,1.2874603271484375e-05,4,True
forward_checking_n_queens,4,29,1.71661376953125e-05,8,True
backtracking_n_queens,8,0,5.435943603515625e-05,63,True
backtracking_n_queens,8,1,3.266334533691406e-05,30,True
backtracking_n_queens,8,2,8.654594421386719e-05,120,True
backtracking_n_queens,8,3,0.00027179718017578125,501,True
backtracking_n_queens,8,4,0.0002372264862060547,362,True
backtracking_n_queens,8,5,6.866455078125e-05,103,True
backtracking_n_queens,8,6,6.127357482910156e-05,83,True
backtracking_n_queens,8,7,0.00010752677917480469,194,True
backtracking_n_queens,8,8,2.6941299438476562e-05,23,True
backtracking_n_queens,8,9,6.341934204101562e-05,95,True
backtracking_n_queens,8,10,7.915496826171875e-05,126,True
backtracking_n_queens,8,11,9.894371032714844e-05,168,True
backtracking_n_queens,8,12,5.7220458984375e-05,81,True
backtracking_n_queens,8,13,7.200241088867188e-05,114,True
backtracking_n_queens,8,14,3.7670135498046875e-05,43,True
backtracking_n_queens,8,15,0.0002446174621582031,445,True
backtracking_n_queens,8,16,6.508827209472656e-05,98,True
backtracking_n_queens,8,17,5.793571472167969e-05,53,True
backtracking_n_queens,8,18,7.605552673339844e-05,53,True
backtracking_n_queens,8,19,4.792213439941406e-05,60,True
backtracking_n_queens,8,20,0.00013494491577148438,243,True
backtracking_n_queens,8,21,5.936622619628906e-05,85,True
backtracking_n_queens,8,22,4.124641418457031e-05,50,True
backtracking_n_queens,8,23,0.00014781951904296875,261,True
backtracking_n_queens,8,24,8.7738037109375e-05,141,True
backtracking_n_queens,8,25,3.62396240234375e-05,39,True
backtracking_n_queens,8,26,0.0001704692840576172,269,True
backtracking_n_queens,8,27,4.8160552978515625e-05,65,True
backtracking_n_queens,8,28,2.7179718017578125e-05,20,True
backtracking_n_queens,8,29,3.743171691894531e-05,40,True
forward_checking_n_queens,8,0,6.222724914550781e-05,24,True
forward_checking_n_queens,8,1,4.029273986816406e-05,13,True
forward_checking_n_queens,8,2,3.695487976074219e-05,12,True
forward_checking_n_queens,8,3,0.00013184547424316406,68,True
forward_checking_n_queens,8,4,3.6716461181640625e-05,12,True
forward_checking_n_queens,8,5,3.075599670410156e-05,8,True
forward_checking_n_queens,8,6,3.147125244140625e-05,9,True
forward_checking_n_queens,8,7,3.9577484130859375e-05,16,True
forward_checking_n_queens,8,8,2.956390380859375e-05,8,True
forward_checking_n_queens,8,9,4.267692565917969e-05,17,True
forward_checking_n_queens,8,10,2.9802322387695312e-05,8,True
forward_checking_n_queens,8,11,3.743171691894531e-05,13,True
forward_checking_n_queens,8,12,3.0279159545898438e-05,8,True
forward_checking_n_queens,8,13,3.719329833984375e-05,13,True
forward_checking_n_queens,8,14,5.745887756347656e-05,21,True
forward_checking_n_queens,8,15,0.00010776519775390625,43,True
forward_checking_n_queens,8,16,7.867813110351562e-05,36,True
forward_checking_n_queens,8,17,3.5762786865234375e-05,11,True
forward_checking_n_queens,8,18,3.910064697265625e-05,15,True
forward_checking_n_queens,8,19,6.0558319091796875e-05,27,True
forward_checking_n_queens,8,20,5.125999450683594e-05,21,True
forward_checking_n_queens,8,21,3.0994415283203125e-05,8,True
forward_checking_n_queens,8,22,3.123283386230469e-05,8,True
forward_checking_n_queens,8,23,3.6716461181640625e-05,12,True
forward_checking_n_queens,8,24,3.266334533691406e-05,10,True
forward_checking_n_queens,8,25,4.315376281738281e-05,16,True
forward_checking_n_queens,8,26,4.744529724121094e-05,19,True
forward_checking_n_queens,8,27,3.0994415283203125e-05,8,True
forward_checking_n_queens,8,28,3.5762786865234375e-05,13,True
forward_checking_n_queens,8,29,3.0517578125e-05,8,True
backtracking_n_queens,10,0,0.002412080764770508,4425,True
backtracking_n_queens,10,1,0.000141143798828125,138,True
backtracking_n_queens,10,2,0.0007102489471435547,1233,True
backtracking_n_queens,10,3,0.0003185272216796875,537,True
backtracking_n_queens,10,4,0.0009884834289550781,1790,True
backtracking_n_queens,10,5,0.0002484321594238281,423,True
backtracking_n_queens,10,6,0.000194549560546875,311,True
backtracking_n_queens,10,7,5.698204040527344e-05,67,True
backtracking_n_queens,10,8,0.00010442733764648438,163,True
backtracking_n_queens,10,9,3.814697265625e-05,29,True
backtracking_n_queens,10,10,9.5367431640625e-05,134,True
backtracking_n_queens,10,11,0.00033020973205566406,564,True
backtracking_n_queens,10,12,0.0009152889251708984,1628,True
backtracking_n_queens,10,13,0.0004978179931640625,873,True
backtracking_n_queens,10,14,3.886222839355469e-05,30,True
backtracking_n_queens,10,15,0.0003314018249511719,500,True
backtracking_n_queens,10,16,0.00012445449829101562,184,True
backtracking_n_queens,10,17,0.0002760887145996094,467,True
backtracking_n_queens,10,18,0.0006885528564453125,1223,True
backtracking_n_queens,10,19,0.0010831356048583984,1977,True
backtracking_n_queens,10,20,0.00015354156494140625,236,True
backtracking_n_queens,10,21,0.00023245811462402344,391,True
backtracking_n_queens,10,22,6.389617919921875e-05,77,True
backtracking_n_queens,10,23,0.001046895980834961,1891,True
